dataset,epsilon,public_frac,dict_per_class,seed,val_acc,majority_acc,dict_size,n_train,n_val,n_public,mean_entropy,mean_top_prob,unique_proto_ratio,status,error
Cora,0.1,0.05,128,0,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,0.1,0.05,128,1,0.5807,0.3024,896,2038,539,131,4.852,0.0078,0.8393,ok,
Cora,0.1,0.05,128,2,0.59,0.3024,896,2038,539,131,4.852,0.0078,0.8382,ok,
Cora,0.5,0.05,128,0,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,0.5,0.05,128,1,0.5603,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,0.5,0.05,128,2,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8382,ok,
Cora,1.0,0.05,128,0,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,1.0,0.05,128,1,0.5603,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,1.0,0.05,128,2,0.5844,0.3024,896,2038,539,131,4.852,0.0078,0.8382,ok,
Cora,2.0,0.05,128,0,0.5844,0.3024,896,2038,539,131,4.852,0.0079,0.8404,ok,
Cora,2.0,0.05,128,1,0.5436,0.3024,896,2038,539,131,4.852,0.0078,0.8404,ok,
Cora,2.0,0.05,128,2,0.5733,0.3024,896,2038,539,131,4.852,0.0078,0.8382,ok,
Cora,5.0,0.05,128,0,0.5826,0.3024,896,2038,539,131,4.852,0.0079,0.8404,ok,
Cora,5.0,0.05,128,1,0.577,0.3024,896,2038,539,131,4.852,0.0079,0.8393,ok,
Cora,5.0,0.05,128,2,0.5844,0.3024,896,2038,539,131,4.852,0.0079,0.8382,ok,
Cora,10.0,0.05,128,0,0.5807,0.3024,896,2038,539,131,4.8519,0.008,0.8404,ok,
Cora,10.0,0.05,128,1,0.5622,0.3024,896,2038,539,131,4.8519,0.008,0.8371,ok,
Cora,10.0,0.05,128,2,0.5603,0.3024,896,2038,539,131,4.8519,0.008,0.8382,ok,
