dataset,epsilon,public_frac,dict_per_class,seed,val_acc,majority_acc,dict_size,n_train,n_val,n_public,mean_entropy,mean_top_prob,unique_proto_ratio,status,error
Cora,0.1,0.2,128,0,0.7254,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,0.1,0.2,128,1,0.7124,0.3024,896,1630,539,539,4.852,0.0078,0.7824,ok,
Cora,0.1,0.2,128,2,0.6994,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,0.5,0.2,128,0,0.7087,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,0.5,0.2,128,1,0.7087,0.3024,896,1630,539,539,4.852,0.0078,0.7824,ok,
Cora,0.5,0.2,128,2,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,1,0.2,128,0,0.7087,0.3024,896,1630,539,539,4.852,0.0078,0.7712,ok,
Cora,1,0.2,128,1,0.7069,0.3024,896,1630,539,539,4.852,0.0078,0.7835,ok,
Cora,1,0.2,128,2,0.705,0.3024,896,1630,539,539,4.852,0.0078,0.7578,ok,
Cora,2,0.2,128,0,0.705,0.3024,896,1630,539,539,4.852,0.0079,0.7701,ok,
Cora,2,0.2,128,1,0.7143,0.3024,896,1630,539,539,4.852,0.0079,0.7835,ok,
Cora,2,0.2,128,2,0.7013,0.3024,896,1630,539,539,4.852,0.0079,0.7578,ok,
Cora,5,0.2,128,0,0.7032,0.3024,896,1630,539,539,4.8519,0.0079,0.7701,ok,
Cora,5,0.2,128,1,0.7124,0.3024,896,1630,539,539,4.852,0.0079,0.7835,ok,
Cora,5,0.2,128,2,0.705,0.3024,896,1630,539,539,4.852,0.0079,0.7578,ok,
Cora,10,0.2,128,0,0.7217,0.3024,896,1630,539,539,4.8517,0.0081,0.7701,ok,
Cora,10,0.2,128,1,0.7032,0.3024,896,1630,539,539,4.8517,0.0081,0.7835,ok,
Cora,10,0.2,128,2,0.705,0.3024,896,1630,539,539,4.8517,0.0081,0.7567,ok,Cora,0.1,0.1,128,0,0.6605,0.3024,896,1902,539,267,4.852,0.0078,0.8248,ok,
Cora,0.1,0.1,128,1,0.6382,0.3024,896,1902,539,267,4.852,0.0078,0.8192,ok,
Cora,0.1,0.1,128,2,0.666,0.3024,896,1902,539,267,4.852,0.0078,0.8114,ok,
Cora,0.5,0.1,128,0,0.6568,0.3024,896,1902,539,267,4.852,0.0078,0.8248,ok,
Cora,0.5,0.1,128,1,0.6494,0.3024,896,1902,539,267,4.852,0.0078,0.8192,ok,
Cora,0.5,0.1,128,2,0.6586,0.3024,896,1902,539,267,4.852,0.0078,0.8114,ok,
Cora,1.0,0.1,128,0,0.6568,0.3024,896,1902,539,267,4.852,0.0078,0.8248,ok,
Cora,1.0,0.1,128,1,0.6494,0.3024,896,1902,539,267,4.852,0.0078,0.8192,ok,
Cora,1.0,0.1,128,2,0.679,0.3024,896,1902,539,267,4.852,0.0078,0.8114,ok,
Cora,2.0,0.1,128,0,0.6586,0.3024,896,1902,539,267,4.852,0.0079,0.8248,ok,
Cora,2.0,0.1,128,1,0.6456,0.3024,896,1902,539,267,4.852,0.0079,0.8181,ok,
Cora,2.0,0.1,128,2,0.6586,0.3024,896,1902,539,267,4.852,0.0079,0.8114,ok,
Cora,5.0,0.1,128,0,0.6549,0.3024,896,1902,539,267,4.852,0.0079,0.8237,ok,
